,DEPTH,DT,GR,ILD,NPHI,RHOB,Porosidade_DT,Classe_poro_dt
139,2997.8,81.9453,117.1406,3.0117,23.9258,2.4202,0.19507744360902257,Alta
140,2998.0,80.9084,116.4609,3.3359,22.5474,2.4197,0.1872812030075188,Alta
141,2998.2,83.7969,111.0,3.5679,26.2461,2.3926,0.2089992481203007,Alta
142,2998.4,87.2734,104.0,3.5007,27.9648,2.3856,0.23513834586466162,Alta
143,2998.6,89.7031,98.7812,3.1758,25.5117,2.4016,0.2534067669172933,Alta
144,2998.8,91.3516,98.875,2.8137,23.668,2.4139,0.26580150375939854,Alta
145,2999.0,93.4609,106.5625,2.5906,24.5195,2.4165,0.28166090225563906,Alta
146,2999.2,95.3672,116.6875,2.5134,25.918,2.4163,0.295993984962406,Alta
147,2999.4,96.1497,121.8906,2.5547,27.3359,2.4131,0.3018774436090225,Muito alta
148,2999.6,95.8047,120.4648,2.7317,28.1809,2.4186,0.29928345864661654,Alta
149,2999.8,94.3906,117.9102,3.0352,26.9062,2.4404,0.28865112781954894,Alta
150,3000.0,92.1406,116.7734,3.4414,24.043,2.4586,0.2717338345864662,Alta
151,3000.2,90.5195,116.5469,3.9531,23.168,2.4407,0.25954511278195486,Alta
152,3000.4,90.4453,118.2539,4.4922,24.8945,2.4026,0.2589872180451128,Alta
153,3000.6,91.3125,124.0,4.9102,27.3672,2.3708,0.26550751879699247,Alta
154,3000.8,92.8398,133.0625,4.9949,28.6484,2.3582,0.276990977443609,Alta
155,3001.0,94.9414,137.8633,4.7891,29.0977,2.354,0.29279248120300755,Alta
156,3001.2,97.4023,133.0,4.4062,29.8242,2.3533,0.3112954887218045,Muito alta
157,3001.4,99.7422,123.875,3.9531,31.082,2.358,0.32888872180451123,Muito alta
158,3001.6,101.4492,120.1406,3.5273,31.6116,2.3698,0.3417233082706767,Muito alta
159,3001.8,102.2344,122.4492,3.1836,31.5659,2.3854,0.3476270676691729,Muito alta
160,3002.0,102.668,127.5352,2.9087,31.8711,2.3845,0.3508872180451128,Muito alta
161,3002.2,103.3125,128.8594,2.6738,32.6328,2.3586,0.3557330827067669,Muito alta
162,3002.4,104.0859,123.5,2.458,32.6211,2.3364,0.36154812030075184,Muito alta
163,3002.6,104.4375,113.75,2.2793,31.4062,2.3401,0.3641917293233083,Muito alta
164,3002.8,103.5273,104.625,2.1685,30.207,2.3672,0.35734812030075186,Muito alta
165,3003.0,101.5156,99.5586,2.1221,30.2773,2.3992,0.3422225563909775,Muito alta
166,3003.2,99.5625,97.6602,2.1113,30.3008,2.4196,0.3275375939849624,Muito alta
167,3003.4,97.8008,96.4023,2.1074,29.2539,2.4254,0.31429172932330823,Muito alta
168,3003.6,96.0977,98.875,2.124,27.8945,2.4305,0.3014864661654136,Muito alta
169,3003.8,95.293,109.6875,2.2236,27.2031,2.4373,0.29543609022556394,Alta
170,3004.0,96.3203,124.625,2.4805,28.3125,2.4327,0.30316015037593985,Muito alta
171,3004.2,98.1641,130.2383,2.7891,30.5859,2.4133,0.3170233082706767,Muito alta
172,3004.4,99.0625,122.5625,3.0588,32.0469,2.3904,0.32377819548872183,Muito alta
173,3004.6,97.9102,112.8672,3.2969,31.4141,2.3745,0.31511428571428574,Muito alta
174,3004.8,96.5078,116.6875,3.6055,29.1602,2.3636,0.3045699248120301,Muito alta
175,3005.0,96.5469,134.875,3.9922,28.2012,2.3495,0.30486390977443606,Muito alta
176,3005.2,97.8398,153.5625,4.2,30.1523,2.3245,0.314584962406015,Muito alta
177,3005.4,99.3164,157.1875,4.0586,31.6504,2.2957,0.3256872180451128,Muito alta
178,3005.6,100.4492,146.4375,3.7227,31.7209,2.2874,0.3342045112781955,Muito alta
179,3005.8,100.5117,130.75,3.3594,32.6489,2.3176,0.3346744360902256,Muito alta
180,3006.0,99.4453,119.125,3.0195,32.0742,2.375,0.32665639097744364,Muito alta
181,3006.2,98.2422,113.8984,2.7109,29.3398,2.4236,0.31761052631578945,Muito alta
182,3006.4,97.707,117.75,2.4915,28.7812,2.4331,0.31358646616541347,Muito alta
183,3006.6,98.9336,129.5,2.4231,31.2617,2.4041,0.322809022556391,Muito alta
184,3006.8,100.3086,132.7031,2.4456,33.0508,2.3682,0.33314736842105264,Muito alta
185,3007.0,100.5095,117.4375,2.5002,33.6484,2.3418,0.3346578947368421,Muito alta
186,3007.2,98.3203,97.9375,2.5906,32.5938,2.3516,0.31819774436090226,Muito alta
187,3007.4,94.4453,95.9375,2.7773,28.9375,2.3965,0.28906240601503763,Alta
188,3007.6,91.1641,108.75,3.1055,25.3047,2.436,0.2643917293233083,Alta
189,3007.8,90.8086,117.0352,3.4805,25.2773,2.4307,0.2617187969924812,Alta
190,3008.0,92.625,112.1875,3.7271,27.5352,2.4067,0.27537593984962405,Alta
191,3008.2,94.5898,103.375,3.8162,28.2959,2.3949,0.2901488721804511,Alta
192,3008.4,95.3164,100.4219,3.9084,26.4961,2.397,0.295612030075188,Alta
193,3008.6,94.7461,102.5078,4.1155,25.0212,2.3987,0.29132406015037593,Alta
194,3008.8,94.259,104.0312,4.4375,26.0469,2.3898,0.28766165413533834,Alta
195,3009.0,94.5508,101.8125,4.8672,27.6953,2.3723,0.2898556390977443,Alta
196,3009.2,94.8623,95.125,5.4336,27.6992,2.3464,0.2921977443609023,Alta
197,3009.4,95.1523,85.9375,6.418,27.1523,2.3025,0.2943781954887218,Alta
198,3009.6,95.6938,76.25,8.3672,27.6641,2.2473,0.29844962406015035,Alta
199,3009.8,95.7031,69.8047,12.9375,27.4961,2.2068,0.2985195488721805,Alta
200,3010.0,94.7266,69.75,22.0,26.3867,2.1851,0.2911774436090226,Alta
201,3010.2,93.2734,72.5781,36.125,25.2383,2.1803,0.28025112781954886,Alta
202,3010.4,92.6038,70.4297,46.3711,24.6599,2.1885,0.2752165413533835,Alta
203,3010.6,93.0664,66.625,42.5,25.1172,2.1947,0.2786947368421053,Alta
204,3010.8,93.9297,60.25,30.75,26.2969,2.195,0.28518571428571426,Alta
205,3011.0,93.2305,56.3281,21.375,26.4336,2.2117,0.27992857142857147,Alta
206,3011.2,89.0,57.043,16.0078,24.2383,2.2791,0.24812030075187969,Alta
207,3011.4,83.4375,60.9375,13.1953,20.0625,2.3752,0.206296992481203,Alta
208,3011.6,81.8203,64.2148,12.332,18.6289,2.3938,0.19413759398496244,Alta
209,3011.8,85.4375,64.7734,13.0938,22.375,2.3081,0.2213345864661654,Alta
210,3012.0,90.125,64.0156,15.2109,26.0039,2.2229,0.2565789473684211,Alta
211,3012.2,92.6641,63.8589,19.5625,27.0273,2.1876,0.2756699248120301,Alta
212,3012.4,92.8457,63.875,30.25,27.3828,2.1762,0.27703533834586463,Alta
213,3012.6,92.9141,63.7361,55.1875,27.8203,2.1685,0.27754962406015043,Alta
214,3012.8,93.5625,64.9961,104.0,27.7031,2.1643,0.2824248120300752,Alta
215,3013.0,94.0898,66.4507,180.0,27.0078,2.1635,0.2863894736842105,Alta
216,3013.2,94.366,65.9375,268.0,25.918,2.1661,0.2884661654135338,Alta
217,3013.4,94.3306,64.7031,341.9375,25.2891,2.1702,0.2882,Alta
218,3013.6,94.1946,64.7227,355.5,25.9258,2.1721,0.28717744360902253,Alta
219,3013.8,93.918,66.2344,360.625,26.2505,2.1727,0.2850977443609023,Alta
220,3014.0,93.4648,69.7109,370.5625,25.7578,2.1734,0.28169022556390977,Alta
221,3014.2,93.1882,72.3086,390.375,25.2305,2.1736,0.2796105263157894,Alta
222,3014.4,93.4453,70.6445,470.0,25.061,2.1712,0.28154360902255643,Alta
223,3014.6,94.25,67.3008,794.0,25.6055,2.1666,0.287593984962406,Alta
224,3014.8,95.0703,65.8164,1443.0,26.9258,2.1606,0.2937616541353384,Alta
225,3015.0,95.8906,65.0117,1577.0,27.1641,2.1508,0.2999293233082707,Alta
226,3015.2,97.6914,63.4297,887.0,26.0469,2.1355,0.31346917293233084,Muito alta
227,3015.4,101.1562,60.5781,209.0,26.3281,2.1162,0.33952030075187967,Muito alta
228,3015.6,105.1328,57.2734,44.8125,28.8398,2.1034,0.3694195488721805,Muito alta
229,3015.8,106.5132,55.0312,22.6875,30.5352,2.125,0.37979849624060147,Muito alta
230,3016.0,102.5,54.1985,16.4805,30.5156,2.2078,0.34962406015037595,Muito alta
231,3016.2,92.1875,54.6875,13.6055,27.4375,2.3311,0.27208646616541354,Alta
232,3016.4,81.1875,58.4375,11.7773,22.125,2.4099,0.18937969924812031,Alta
233,3016.6,78.728,65.75,11.0391,19.3672,2.3989,0.17088721804511273,Alta
234,3016.8,88.5625,71.0664,11.9141,23.375,2.3115,0.24483082706766918,Alta
235,3017.0,100.3125,70.6602,14.3516,28.4414,2.2173,0.3331766917293233,Muito alta
236,3017.2,110.3125,66.957,18.3008,30.4336,2.1531,0.4083646616541353,Muito alta
237,3017.4,115.8438,66.1133,24.3125,30.3594,2.125,0.4499533834586466,Muito alta
238,3017.6,115.957,69.2852,31.875,31.2695,2.1189,0.45080451127819543,Muito alta
239,3017.8,112.375,69.8242,38.9375,31.9219,2.1226,0.42387218045112784,Muito alta
240,3018.0,108.5781,67.7217,42.6445,31.5806,2.1184,0.39532406015037597,Muito alta
241,3018.2,109.1641,68.6758,41.2344,31.6484,2.1046,0.39973007518796994,Muito alta
242,3018.4,110.7656,71.0352,38.5195,31.625,2.1045,0.4117714285714286,Muito alta
243,3018.6,110.1406,72.2656,39.4375,30.9727,2.1267,0.40707218045112786,Muito alta
244,3018.8,107.5039,71.1289,45.25,31.0781,2.1468,0.3872473684210526,Muito alta
245,3019.0,104.3086,68.625,52.0,31.3772,2.1493,0.36322255639097745,Muito alta
246,3019.2,98.9375,66.2188,59.125,30.1523,2.1455,0.32283834586466165,Muito alta
247,3019.4,91.1875,64.5391,71.25,27.4961,2.1527,0.26456766917293234,Alta
248,3019.6,88.9414,62.7852,98.0625,25.832,2.1667,0.2476796992481203,Alta
249,3019.8,91.3086,62.5117,144.625,25.4102,2.179,0.2654781954887218,Alta
250,3020.0,93.0352,66.0625,200.4375,24.6367,2.188,0.27846015037593985,Alta
251,3020.2,94.2578,69.5156,248.25,24.1958,2.1912,0.2876526315789474,Alta
252,3020.4,95.6758,69.8594,238.1875,25.0391,2.1832,0.2983142857142857,Alta
253,3020.6,95.9492,67.1992,185.0625,26.6719,2.1737,0.3003699248120301,Muito alta
254,3020.8,94.332,64.3398,163.9375,28.2578,2.1739,0.2882105263157894,Alta
255,3021.0,94.0898,62.9922,154.9375,28.6047,2.1771,0.2863894736842105,Alta
256,3021.2,94.8594,62.5234,140.3125,27.9922,2.179,0.29217593984962403,Alta
257,3021.4,93.0156,61.4258,117.5,27.6553,2.1859,0.2783127819548873,Alta
258,3021.6,88.125,58.6367,92.625,26.418,2.2192,0.24154135338345864,Alta
259,3021.8,79.75,53.8125,77.625,20.9375,2.3142,0.17857142857142858,Alta
260,3022.0,69.8125,49.1836,69.375,12.25,2.4612,0.10385338345864661,Intermediária
261,3022.2,62.375,48.7383,64.9336,6.5664,2.5791,0.047932330827067667,Muito baixa
262,3022.4,60.3086,53.3125,65.3125,6.1055,2.6125,0.0323954887218045,Muito baixa
263,3022.6,63.6562,58.875,74.125,9.5625,2.5347,0.05756541353383458,Intermediária
264,3022.8,62.375,64.375,93.1875,15.6875,2.3918,0.047932330827067667,Muito baixa
265,3023.0,60.1641,66.9453,121.4375,21.5625,2.2578,0.03130902255639096,Muito baixa
266,3023.2,77.1875,65.2344,154.375,24.0742,2.1897,0.15930451127819548,Alta
267,3023.4,91.75,64.7773,177.875,25.4492,2.1602,0.26879699248120303,Alta
268,3023.6,95.6953,66.332,180.4727,26.0188,2.1541,0.29846090225563915,Alta
269,3023.8,97.0898,67.1445,166.5625,25.3242,2.1627,0.30894586466165413,Muito alta
270,3024.0,97.8164,66.375,157.9336,25.0508,2.1637,0.31440902255639097,Muito alta
271,3024.2,98.3906,65.833,159.9375,25.8984,2.1519,0.31872631578947375,Muito alta
272,3024.4,98.7344,66.707,177.6875,26.7197,2.14,0.32131127819548866,Muito alta
273,3024.6,99.1016,67.3879,176.125,26.6484,2.1395,0.32407218045112784,Muito alta
274,3024.8,99.8672,67.5835,128.75,26.4517,2.1466,0.3298285714285714,Muito alta
275,3025.0,100.9609,68.5898,76.375,26.8516,2.1536,0.3380518796992481,Muito alta
276,3025.2,101.5351,70.6758,46.5625,27.178,2.1648,0.3423691729323308,Muito alta
277,3025.4,100.8477,71.9219,33.1875,26.8672,2.1926,0.3372007518796993,Muito alta
278,3025.6,99.4187,71.2773,30.0508,26.9609,2.2221,0.3264563909774436,Muito alta
279,3025.8,99.3083,69.9961,28.9609,27.4128,2.2068,0.3256263157894737,Muito alta
280,3026.0,99.7695,70.4648,26.7188,26.9531,2.1653,0.329093984962406,Muito alta
281,3026.2,100.6055,74.625,23.6875,26.1914,2.1387,0.33537969924812033,Muito alta
282,3026.4,100.3203,82.5625,20.8906,26.0078,2.1458,0.33323533834586466,Muito alta
283,3026.6,98.8398,89.5,18.5781,25.999,2.1824,0.3221037593984962,Muito alta
284,3026.8,96.5586,91.8281,16.3281,26.6641,2.2412,0.3049518796992481,Muito alta
