,DEPTH,DT,GR,ILD,NPHI,RHOB
186,3007.2,98.3203,97.9375,2.5906,32.5938,2.3516
187,3007.4,94.4453,95.9375,2.7773,28.9375,2.3965
188,3007.6,91.1641,108.75,3.1055,25.3047,2.436
189,3007.8,90.8086,117.0352,3.4805,25.2773,2.4307
190,3008.0,92.625,112.1875,3.7271,27.5352,2.4067
191,3008.2,94.5898,103.375,3.8162,28.2959,2.3949
192,3008.4,95.3164,100.4219,3.9084,26.4961,2.397
193,3008.6,94.7461,102.5078,4.1155,25.0212,2.3987
194,3008.8,94.259,104.0312,4.4375,26.0469,2.3898
195,3009.0,94.5508,101.8125,4.8672,27.6953,2.3723
196,3009.2,94.8623,95.125,5.4336,27.6992,2.3464
197,3009.4,95.1523,85.9375,6.418,27.1523,2.3025
198,3009.6,95.6938,76.25,8.3672,27.6641,2.2473
199,3009.8,95.7031,69.8047,12.9375,27.4961,2.2068
200,3010.0,94.7266,69.75,22.0,26.3867,2.1851
201,3010.2,93.2734,72.5781,36.125,25.2383,2.1803
202,3010.4,92.6038,70.4297,46.3711,24.6599,2.1885
203,3010.6,93.0664,66.625,42.5,25.1172,2.1947
204,3010.8,93.9297,60.25,30.75,26.2969,2.195
205,3011.0,93.2305,56.3281,21.375,26.4336,2.2117
206,3011.2,89.0,57.043,16.0078,24.2383,2.2791
207,3011.4,83.4375,60.9375,13.1953,20.0625,2.3752
208,3011.6,81.8203,64.2148,12.332,18.6289,2.3938
209,3011.8,85.4375,64.7734,13.0938,22.375,2.3081
210,3012.0,90.125,64.0156,15.2109,26.0039,2.2229
211,3012.2,92.6641,63.8589,19.5625,27.0273,2.1876
212,3012.4,92.8457,63.875,30.25,27.3828,2.1762
213,3012.6,92.9141,63.7361,55.1875,27.8203,2.1685
214,3012.8,93.5625,64.9961,104.0,27.7031,2.1643
215,3013.0,94.0898,66.4507,180.0,27.0078,2.1635
216,3013.2,94.366,65.9375,268.0,25.918,2.1661
217,3013.4,94.3306,64.7031,341.9375,25.2891,2.1702
218,3013.6,94.1946,64.7227,355.5,25.9258,2.1721
219,3013.8,93.918,66.2344,360.625,26.2505,2.1727
220,3014.0,93.4648,69.7109,370.5625,25.7578,2.1734
221,3014.2,93.1882,72.3086,390.375,25.2305,2.1736
222,3014.4,93.4453,70.6445,470.0,25.061,2.1712
223,3014.6,94.25,67.3008,794.0,25.6055,2.1666
224,3014.8,95.0703,65.8164,1443.0,26.9258,2.1606
225,3015.0,95.8906,65.0117,1577.0,27.1641,2.1508
226,3015.2,97.6914,63.4297,887.0,26.0469,2.1355
227,3015.4,101.1562,60.5781,209.0,26.3281,2.1162
228,3015.6,105.1328,57.2734,44.8125,28.8398,2.1034
229,3015.8,106.5132,55.0312,22.6875,30.5352,2.125
230,3016.0,102.5,54.1985,16.4805,30.5156,2.2078
231,3016.2,92.1875,54.6875,13.6055,27.4375,2.3311
232,3016.4,81.1875,58.4375,11.7773,22.125,2.4099
233,3016.6,78.728,65.75,11.0391,19.3672,2.3989
234,3016.8,88.5625,71.0664,11.9141,23.375,2.3115
235,3017.0,100.3125,70.6602,14.3516,28.4414,2.2173
236,3017.2,110.3125,66.957,18.3008,30.4336,2.1531
237,3017.4,115.8438,66.1133,24.3125,30.3594,2.125
238,3017.6,115.957,69.2852,31.875,31.2695,2.1189
239,3017.8,112.375,69.8242,38.9375,31.9219,2.1226
240,3018.0,108.5781,67.7217,42.6445,31.5806,2.1184
241,3018.2,109.1641,68.6758,41.2344,31.6484,2.1046
242,3018.4,110.7656,71.0352,38.5195,31.625,2.1045
243,3018.6,110.1406,72.2656,39.4375,30.9727,2.1267
244,3018.8,107.5039,71.1289,45.25,31.0781,2.1468
245,3019.0,104.3086,68.625,52.0,31.3772,2.1493
246,3019.2,98.9375,66.2188,59.125,30.1523,2.1455
247,3019.4,91.1875,64.5391,71.25,27.4961,2.1527
248,3019.6,88.9414,62.7852,98.0625,25.832,2.1667
249,3019.8,91.3086,62.5117,144.625,25.4102,2.179
250,3020.0,93.0352,66.0625,200.4375,24.6367,2.188
251,3020.2,94.2578,69.5156,248.25,24.1958,2.1912
252,3020.4,95.6758,69.8594,238.1875,25.0391,2.1832
253,3020.6,95.9492,67.1992,185.0625,26.6719,2.1737
254,3020.8,94.332,64.3398,163.9375,28.2578,2.1739
255,3021.0,94.0898,62.9922,154.9375,28.6047,2.1771
256,3021.2,94.8594,62.5234,140.3125,27.9922,2.179
257,3021.4,93.0156,61.4258,117.5,27.6553,2.1859
258,3021.6,88.125,58.6367,92.625,26.418,2.2192
259,3021.8,79.75,53.8125,77.625,20.9375,2.3142
260,3022.0,69.8125,49.1836,69.375,12.25,2.4612
